BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length
E63000143,Medomsley, , ,411844.2055,554185.7459,-1.816916372,54.88228806,143,310000,5350
E63000144,Dipton, , ,416017.0272,554174.3887,-1.751877346,54.88207072,144,676875,14050
E63000145,Tanfield Lea, , ,418689.1887,553989.2146,-1.710240027,54.88031459,145,957500,12350
E63000146,Silloth, , ,312079.3745,553911.1643,-3.371615325,54.87221135,146,1971250,37650
E63000147,Penshaw, , ,431403.7435,553778.4521,-1.512101673,54.87778687,147,265000,3850
E63000148,Pelton and Ouston, , ,425422.5047,553735.8587,-1.605319972,54.87774252,148,1579375,13450
E63000149,West Pelton, , ,423047.7391,552799.664,-1.642404065,54.86944423,149,255625,7350
E63000150,Cumwhinton, , ,345186.8569,552750.1308,-2.855555909,54.86650979,150,312500,6700
E63000151,Shiney Row and Penshaw, , ,433058.7483,552531.4385,-1.486452022,54.86647495,151,3844375,30300
E63000152,Newfield, , ,424418.9058,552464.6599,-1.621067671,54.86636911,152,261250,4450
E63000153,Stanley (County Durham), , ,419850.7572,552273.3598,-1.692253617,54.86485107,153,4703125,36850
E63000154,Blackwell (Carlisle), , ,340533.2296,551960.7357,-2.927889732,54.85888448,154,206875,5400
E63000155,Annfield Plain, , ,416880.3194,551807.1797,-1.7385593,54.86077019,155,2760000,30400
E63000156,Leadgate, , ,412646.0897,551765.7801,-1.804522882,54.86052208,156,787500,10300
E63000157,Whitehill (County Durham), , ,425172.6061,551404.4856,-1.609416946,54.85680505,157,407500,4050
E63000158,Chester-le-Street, , ,427161.098,551315.8549,-1.578451731,54.85590511,158,6753125,39950
E63000159,Bournmoor, , ,430995.4051,551280.8985,-1.518732592,54.85536914,159,552500,5850
E63000160,Craghead, , ,421470.9454,550868.8554,-1.667115543,54.85216337,160,296875,8100
E63000161,Consett, , ,410289.6072,550635.1446,-1.841272389,54.85041527,161,7908125,69700
E63000162,Abbeytown, , ,317410.5645,550624.9772,-3.287621089,54.84359765,162,292500,7600
E63000163,Dalston, , ,336739.1993,550339.3365,-2.986627311,54.84385015,163,742500,9400
